origin,destination,airline,duration_min,month,day_of_week,dep_hour,delayed
CMN,LHR,RAM,171,7,5,23,1
ORY,RAK,RAM,175,4,3,17,0
CMN,IAD,RAM,468,6,1,1,0
LHR,CMN,RAM,207,7,0,10,1
LHR,RAK,RAM,198,9,5,6,0
CMN,CDG,RAM,176,1,5,7,0
RAK,CDG,RAM,170,3,2,18,1
LHR,CMN,RAM,183,8,3,18,1
CMN,CDG,RAM,176,6,1,13,0
FEZ,BRU,RAM,188,4,4,9,0
RAK,CMN,RAM,44,2,3,8,0
BCN,CMN,RAM,124,12,3,18,0
ORY,RAK,RAM,185,6,3,6,0
CMN,JFK,RAM,440,6,5,17,0
RAK,MAD,RAM,133,1,5,6,0
RAK,LHR,RAM,201,9,2,23,1
CMN,LYS,RAM,161,12,1,2,0
AGA,LHR,RAM,190,12,3,16,0
LHR,CMN,RAM,201,5,4,12,0
CDG,CMN,RAM,188,12,4,18,0
STN,AGA,RYR,222,6,1,18,0
AGA,CDG,RAM,193,6,5,7,0
RAK,BCN,RAM,150,10,1,17,0
LHR,RAK,RAM,203,10,5,5,1
RAK,BCN,RAM,140,7,5,6,1
RAK,LHR,RAM,196,6,0,12,1
RAK,CDG,RAM,178,12,0,18,0
RAK,BCN,RAM,131,6,1,8,0
RAK,ORY,RAM,166,11,5,8,0
CDG,AGA,RAM,206,9,2,6,0
AGA,LHR,RAM,206,2,5,15,0
CMN,NBO,RAM,393,3,6,21,1
CDG,RAK,RAM,176,1,4,11,0
CMN,CAI,RAM,210,1,1,22,1
ORY,RAK,RAM,187,8,5,19,1
LHR,RAK,RAM,208,2,1,11,1
CMN,RAK,RAM,45,3,6,12,0
CDG,AGA,RAM,185,4,5,13,0
RAK,CMN,RAM,46,7,1,20,1
AGA,LHR,RAM,211,4,2,19,0
AGA,CMN,RAM,51,6,2,5,1
RAK,BCN,VLG,134,5,5,8,0
AGA,CMN,RAM,57,6,6,14,1
CMN,MAD,RAM,112,12,0,11,1
CDG,CMN,RAM,178,12,2,10,0
RAK,STN,RYR,188,2,3,22,1
CMN,TNG,RAM,47,2,4,10,1
CDG,RAK,RAM,180,1,5,13,1
BCN,CMN,RAM,128,6,3,10,0
RAK,ORY,RAM,176,11,6,6,0
RAK,FCO,RYR,179,10,4,7,0
CMN,YUL,RAM,485,5,3,4,1
AGA,LHR,RAM,201,9,0,18,1
AGA,CMN,RAM,58,12,4,16,0
CMN,RAK,RAM,42,4,3,7,0
JFK,CMN,RAM,438,12,5,16,1
CMN,IAD,RAM,439,10,3,17,1
CMN,CAI,RAM,201,2,3,15,0
RAK,CDG,RAM,168,10,5,7,0
LHR,CMN,RAM,204,2,6,15,1
STN,AGA,RYR,226,1,5,10,0
CMN,ALG,RAM,97,10,3,20,1
CMN,RAK,RAM,44,11,5,5,1
FEZ,CMN,RAM,46,6,2,18,0
CMN,CDG,RAM,169,1,4,20,1
CMN,OUD,RAM,61,8,2,16,0
AGA,LHR,RAM,209,4,4,14,0
RAK,ORY,RAM,169,7,1,23,0
CMN,LOS,RAM,333,5,1,19,0
RAK,ORY,RAM,178,8,4,14,1
CMN,IAD,RAM,416,4,0,9,1
RAK,BCN,VLG,135,3,3,21,0
CMN,LHR,RAM,189,9,6,13,0
RAK,BCN,VLG,143,7,5,6,0
CMN,JFK,RAM,427,5,1,14,0
CMN,CDG,RAM,165,8,5,21,1
ORY,RAK,RAM,191,5,1,0,0
RAK,STN,RYR,195,6,5,15,0
CDG,RAK,RAM,178,6,4,9,0
CMN,LHR,RAM,184,4,3,19,0
CMN,RAK,RAM,41,6,2,21,0
STN,RAK,RYR,214,10,3,8,0
LHR,CMN,RAM,202,12,3,15,1
RAK,BCN,RAM,140,4,5,10,0
RAK,BCN,RAM,141,12,3,18,0
CDG,CMN,RAM,182,5,3,20,1
STN,RAK,RYR,218,7,6,2,1
FEZ,BCN,VLG,144,2,6,14,0
AGA,STN,RYR,207,8,5,21,1
CMN,BCN,RAM,123,7,1,4,0
CDG,RBA,RAM,179,9,1,8,0
CMN,DKR,RAM,198,8,5,13,1
CMN,AGA,RAM,56,12,4,23,1
CMN,LHR,RAM,178,10,6,5,1
RAK,MAD,RAM,136,12,5,8,1
STN,RAK,RYR,221,7,6,11,1
CMN,GVA,RAM,181,5,0,21,1
STN,AGA,RYR,234,7,3,6,1
RAK,BCN,VLG,145,7,1,21,1
CMN,CDG,RAM,158,6,4,22,0
STN,RAK,RYR,221,6,0,8,0
RAK,MAD,RAM,137,10,5,9,1
CMN,BCN,RAM,128,9,6,7,0
CMN,NDR,RAM,75,8,6,10,1
CMN,RAK,RAM,47,8,6,8,0
JFK,CMN,RAM,421,6,0,6,0
ORY,RAK,RAM,177,6,3,19,0
CMN,YUL,RAM,418,3,4,6,0
STN,AGA,RYR,232,8,3,16,1
FEZ,CMN,RAM,52,3,0,10,0
CMN,TUN,RAM,105,12,3,11,0
FEZ,BCN,VLG,133,6,5,21,0
RAK,BCN,RAM,137,1,0,6,0
RAK,CDG,RAM,163,1,0,13,1
CMN,AGA,RAM,59,9,4,15,0
RAK,BCN,RAM,132,8,2,16,1
LHR,RAK,RAM,196,10,4,22,1
AGA,CDG,RAM,186,9,3,18,1
CMN,LYS,RAM,158,1,1,7,0
CMN,IAD,RAM,428,3,4,12,1
FEZ,CMN,RAM,46,5,6,10,0
CDG,AGA,RAM,185,2,4,16,1
FEZ,BRU,RAM,199,3,5,23,0
CMN,JFK,RAM,437,8,3,20,1
ORY,RAK,RAM,186,7,5,23,0
AGA,CMN,RAM,50,11,0,7,0
CMN,IAD,RAM,408,4,3,21,1
CMN,MAD,RAM,125,7,5,3,1
RAK,BCN,RAM,136,11,0,12,0
CMN,LOS,RAM,353,2,6,9,0
CMN,MAD,RAM,124,11,6,17,0
CMN,RAK,RAM,41,5,5,6,0
CMN,OUD,RAM,60,11,1,14,1
RAK,CDG,RYR,187,9,0,19,0
STN,AGA,RYR,221,9,3,8,0
RBA,CDG,RAM,167,1,3,19,0
AGA,LHR,RAM,210,12,0,6,0
CDG,CMN,RAM,166,6,4,22,0
CMN,MAD,RAM,111,2,6,19,0
CMN,LHR,RAM,174,10,5,17,1
CMN,CDG,RAM,176,11,6,11,0
CMN,YUL,RAM,472,12,0,21,1
RAK,CDG,RAM,174,7,1,21,1
CMN,FRA,RAM,183,6,5,22,1
CDG,CMN,RAM,184,8,5,11,1
RAK,ORY,RAM,170,5,0,14,1
CMN,JFK,RAM,444,6,6,18,0
FEZ,ORY,RAM,158,7,2,13,0
CMN,CDG,RAM,155,10,2,22,0
TNG,MAD,RAM,104,11,4,13,1
CMN,AGA,RAM,53,3,6,23,0
AGA,LHR,RAM,209,3,4,8,0
AGA,ORY,RAM,188,3,4,19,1
FEZ,CMN,RAM,53,8,6,10,0
BCN,CMN,RAM,132,4,0,6,0
CMN,NDR,RAM,70,8,5,8,0
STN,AGA,RYR,234,9,6,16,0
AGA,ORY,RAM,170,11,3,9,0
CMN,ALG,RAM,102,11,6,10,0
ORY,RAK,RAM,192,4,0,12,0
RAK,FCO,RYR,191,5,4,19,0
RAK,BCN,VLG,144,3,5,16,0
AGA,LHR,RAM,193,9,6,8,1
CMN,LHR,RAM,170,9,5,19,0
CMN,TUN,RAM,111,1,1,7,0
RAK,LHR,RAM,189,3,5,18,0
CMN,MRS,RAM,139,5,0,23,0
MAD,CMN,RAM,119,4,4,12,0
CMN,MAD,RAM,112,7,6,8,0
CMN,ALG,RAM,113,1,2,18,1
RAK,MAD,RAM,137,10,2,21,1
CDG,CMN,RAM,178,7,6,16,1
CMN,AGA,RAM,54,8,0,5,0
STN,AGA,RYR,211,8,2,11,0
AGA,ORY,RAM,172,7,5,6,0
MAD,CMN,RAM,127,8,0,7,1
STN,RAK,RYR,210,2,4,14,0
RAK,ORY,RAM,181,6,0,12,1
CMN,TNG,RAM,50,9,3,0,1
AGA,STN,RYR,212,6,5,17,1
RAK,STN,RYR,205,4,5,19,1
TNG,BCN,RYR,129,8,5,17,0
CMN,MAD,RAM,118,7,1,13,0
CMN,CDG,RAM,175,7,5,19,0
CDG,AGA,RAM,186,12,5,12,1
LHR,CMN,RAM,195,3,6,14,0
LHR,CMN,RAM,206,8,6,20,0
AGA,STN,RYR,219,1,6,7,0
CMN,JFK,RAM,410,8,5,1,1
RAK,BCN,VLG,136,4,5,8,0
RAK,CMN,RAM,44,10,6,5,0
CMN,YUL,RAM,481,4,3,17,1
CMN,AMS,RAM,195,6,3,18,1
LHR,CMN,RAM,196,7,1,20,0
LHR,CMN,RAM,200,8,2,0,1
CDG,CMN,RAM,167,5,4,23,0
CMN,LHR,RAM,178,3,1,17,1
CDG,RAK,RAM,172,8,5,10,1
CMN,IAD,RAM,448,6,1,11,0
AGA,LHR,RAM,185,1,3,14,0
RBA,MAD,RAM,113,7,1,22,0
FEZ,CDG,RAM,160,7,6,5,0
RAK,ORY,RAM,182,7,5,5,1
LHR,CMN,RAM,203,2,2,1,0
AGA,LHR,RAM,202,7,3,7,1
CMN,ALG,RAM,97,9,6,20,1
CMN,LHR,RAM,195,3,0,16,0
TNG,MAD,RAM,105,8,6,0,0
CMN,DKR,RAM,205,3,2,14,0
CMN,AMS,RAM,204,5,5,17,1
RBA,MAD,RAM,113,6,3,21,1
RAK,CMN,RAM,43,10,3,9,0
CMN,DKR,RAM,182,4,0,0,0
CMN,TUN,RAM,109,4,4,22,1
RAK,STN,RYR,188,11,6,4,0
AGA,ORY,RAM,184,9,3,12,0
CDG,CMN,RAM,185,7,5,18,0
RAK,STN,RYR,201,5,2,18,0
CMN,AGA,RAM,53,10,4,21,1
CMN,LYS,RAM,150,8,0,9,0
RAK,CMN,RAM,42,5,6,22,0
CMN,AGA,RAM,57,5,6,9,0
CMN,LYS,RAM,149,7,6,13,1
AGA,STN,RYR,228,12,3,21,1
CMN,FRA,RAM,186,8,0,18,0
AGA,ORY,RAM,192,9,3,7,0
FEZ,ORY,RAM,172,6,4,18,1
CMN,GVA,RAM,180,12,4,4,1
AGA,LHR,RAM,191,6,5,6,0
FEZ,BCN,VLG,144,1,2,6,0
CMN,TUN,RAM,104,10,0,13,1
MAD,CMN,RAM,116,7,3,9,0
CMN,LHR,RAM,199,3,5,9,1
RAK,CDG,RYR,164,1,2,6,0
CMN,TNG,RAM,53,12,5,17,1
FEZ,BRU,RAM,181,8,5,11,1
RAK,LHR,RAM,203,7,2,5,1
ORY,RAK,RAM,173,5,4,10,0
CMN,JFK,RAM,414,2,0,17,0
CMN,MAD,RAM,119,8,3,6,0
RAK,MAD,RAM,125,6,2,15,1
LHR,RAK,RAM,194,12,5,10,1
RAK,ORY,RAM,163,2,4,20,0
CMN,AGA,RAM,56,4,5,18,0
STN,RAK,RYR,220,6,3,9,1
STN,RAK,RYR,198,10,4,19,1
LHR,CMN,RAM,199,10,0,13,0
CMN,NDR,RAM,74,4,2,11,0
STN,AGA,RYR,240,6,2,17,1
RBA,MAD,RAM,104,1,3,22,0
CDG,RAK,RAM,175,6,5,10,1
RAK,BCN,RAM,136,3,2,12,0
RAK,ORY,RAM,161,12,5,21,0
MAD,CMN,RAM,125,10,4,5,0
CDG,AGA,RAM,180,3,5,13,1
RAK,CMN,RAM,45,7,4,7,0
MAD,CMN,RAM,123,12,2,8,0
CMN,LHR,RAM,177,6,3,13,0
AGA,ORY,RAM,188,6,6,16,0
CMN,JFK,RAM,406,5,0,8,1
RAK,BCN,VLG,140,7,2,16,1
CDG,AGA,RAM,205,8,3,11,0
CMN,IAD,RAM,428,2,2,16,1
FEZ,MAD,IBE,130,2,3,6,0
ORY,RAK,RAM,170,10,5,21,0
CDG,RBA,RAM,163,12,6,16,1
STN,AGA,RYR,222,7,6,3,1
CDG,RBA,RAM,165,11,2,17,0
CMN,CDG,RAM,165,11,4,16,0
CMN,FRA,RAM,188,6,4,12,1
CMN,LHR,RAM,197,5,0,15,1
RAK,LHR,RAM,204,9,0,17,1
CMN,RAK,RAM,42,12,4,11,0
LHR,RAK,RAM,192,11,4,23,1
TNG,BCN,RYR,119,5,4,8,0
CMN,IAD,RAM,445,5,6,6,1
CMN,DKR,RAM,184,9,3,8,0
CMN,RAK,RAM,43,5,0,7,0
CDG,RAK,RAM,195,11,4,10,1
CDG,FEZ,RAM,185,7,5,16,0
CMN,BRU,RAM,172,5,1,19,1
CMN,AGA,RAM,58,5,3,6,0
RAK,CDG,RYR,185,10,0,11,0
STN,AGA,RYR,227,3,3,7,1
CMN,LHR,RAM,197,12,2,16,0
RAK,MAD,RAM,126,6,5,18,1
RAK,CMN,RAM,46,11,3,13,0
RBA,MAD,RAM,116,10,5,0,0
CDG,CMN,RAM,165,10,1,20,0
CMN,YUL,RAM,484,9,5,22,0
RAK,LHR,RAM,183,7,3,10,1
MAD,CMN,RAM,134,6,3,12,1
AGA,ORY,RAM,179,8,1,8,1
MAD,CMN,RAM,115,7,5,8,1
CMN,ABJ,RAM,278,5,2,21,1
AGA,CDG,RAM,182,7,6,15,1
RAK,MAD,RAM,129,6,3,19,0
AGA,ORY,RAM,169,8,3,19,0
AGA,CMN,RAM,54,10,3,13,0
LHR,CMN,RAM,199,10,4,6,1
AGA,LHR,RAM,191,5,4,2,1
CMN,BRU,RAM,190,7,4,8,1
CDG,RAK,RAM,182,1,1,9,0
CDG,CMN,RAM,163,11,2,9,0
CMN,MAD,RAM,128,4,4,10,0
CMN,IAD,RAM,472,6,6,3,0
CMN,DKR,RAM,191,3,3,16,0
RAK,CMN,RAM,44,9,2,8,1
AGA,STN,RYR,206,7,3,18,1
AGA,CMN,RAM,54,6,5,7,0
STN,RAK,RYR,212,7,5,7,1
CMN,FRA,RAM,176,3,6,22,1
CMN,IAD,RAM,448,10,0,18,0
CMN,IAD,RAM,405,4,5,11,0
CMN,IAD,RAM,439,8,3,0,1
AGA,CDG,RAM,177,11,6,17,1
RAK,ORY,RAM,165,1,1,9,0
CMN,LOS,RAM,335,6,1,7,1
CMN,MAD,RAM,111,3,5,19,0
CMN,CDG,RAM,165,11,2,7,1
CMN,AMS,RAM,208,6,4,9,1
LHR,CMN,RAM,184,4,1,17,0
FEZ,CDG,RAM,172,9,5,18,0
LHR,CMN,RAM,192,7,4,6,0
AGA,ORY,RAM,193,10,4,23,0
CMN,LOS,RAM,306,9,5,18,1
CMN,LHR,RAM,195,12,0,6,1
FEZ,MAD,IBE,115,2,0,11,1
RAK,STN,RYR,196,2,0,19,0
CMN,BRU,RAM,173,11,3,6,0
CMN,RAK,RAM,46,12,2,1,0
CDG,CMN,RAM,171,6,2,8,0
CMN,BCN,RAM,132,7,6,20,0
AGA,STN,RYR,219,6,6,11,0
AGA,LHR,RAM,200,10,1,16,0
JFK,CMN,RAM,427,10,5,0,0
CDG,CMN,RAM,170,4,4,5,1
RBA,CDG,RAM,155,6,5,17,0
CMN,YUL,RAM,416,4,2,7,0
MAD,CMN,RAM,123,1,3,13,1
RAK,ORY,RAM,160,1,1,16,1
RAK,CMN,RAM,44,3,6,21,1
CDG,CMN,RAM,177,1,2,10,0
STN,AGA,RYR,237,6,3,1,0
RAK,CDG,RYR,163,2,4,18,1
CDG,RAK,RAM,182,11,1,4,0
AGA,STN,RYR,199,9,0,6,0
AGA,CMN,RAM,56,10,3,5,0
CMN,BRU,RAM,171,8,3,22,1
CMN,MAD,RAM,126,8,5,10,1
RAK,CMN,RAM,43,2,0,11,0
AGA,CDG,RAM,187,1,0,6,0
RAK,LHR,RAM,182,12,5,19,0
RAK,CDG,RYR,166,6,5,12,0
AGA,STN,RYR,230,1,2,20,0
STN,AGA,RYR,217,3,1,17,0
CMN,FEZ,RAM,52,11,4,6,0
CDG,RAK,RAM,190,4,4,18,1
JFK,CMN,RAM,408,7,6,9,0
RAK,FCO,RYR,204,8,3,8,1
CDG,RAK,RAM,195,12,1,7,1
RAK,STN,RYR,206,1,0,16,0
CDG,RAK,RAM,190,7,2,17,1
CMN,MAD,RAM,125,12,2,6,0
LHR,RAK,RAM,219,3,6,8,1
CDG,AGA,RAM,189,3,2,16,1
FEZ,ORY,RAM,156,2,6,7,0
RAK,MAD,RAM,134,7,5,7,0
MAD,CMN,RAM,116,5,4,15,0
CDG,RAK,RAM,180,9,1,23,0
FEZ,CDG,RAM,159,8,0,15,1
CDG,RAK,RAM,194,8,0,10,1
CDG,AGA,RAM,184,7,0,0,1
RAK,BCN,RAM,131,12,5,7,0
CMN,FRA,RAM,198,7,3,11,1
FEZ,ORY,RAM,155,2,5,18,1
CMN,LHR,RAM,174,5,3,16,0
RAK,ORY,RAM,162,10,5,18,1
BCN,CMN,RAM,142,8,5,18,0
CMN,LHR,RAM,178,9,1,16,1
RAK,BCN,RAM,149,12,1,5,0
RAK,BCN,RAM,150,6,0,18,0
AGA,LHR,RAM,214,1,4,18,1
AGA,STN,RYR,221,12,3,12,1
AGA,ORY,RAM,180,7,6,20,1
RAK,CDG,RAM,181,2,0,20,0
RAK,BCN,VLG,140,7,6,18,0
RAK,STN,RYR,212,8,5,7,1
CDG,RAK,RAM,192,8,6,19,0
STN,RAK,RYR,208,12,1,21,1
CMN,AGA,RAM,50,5,6,20,0
MAD,CMN,RAM,120,1,0,21,0
RAK,CMN,RAM,41,12,2,20,1
CDG,CMN,RAM,162,4,4,17,0
CMN,YUL,RAM,465,9,3,18,0
JFK,CMN,RAM,432,4,5,5,0
RAK,BCN,VLG,145,10,6,3,0
CMN,MAD,RAM,116,11,0,21,0
CMN,RAK,RAM,41,2,5,0,0
FEZ,BRU,RAM,183,3,5,14,1
RAK,FCO,RYR,180,12,6,18,1
LHR,RAK,RAM,208,10,2,15,1
FEZ,CMN,RAM,50,1,6,20,1
TNG,CDG,RAM,151,3,0,21,0
RAK,BCN,RAM,132,6,6,9,1
AGA,LHR,RAM,188,11,6,15,0
RAK,CDG,RYR,187,3,1,3,0
RAK,STN,RYR,204,9,0,12,1
CMN,IAD,RAM,450,2,0,18,0
LHR,RAK,RAM,212,7,5,7,0
CMN,LHR,RAM,178,9,3,18,1
CMN,TUN,RAM,116,2,5,4,0
CDG,AGA,RAM,195,4,5,18,0
CMN,AGA,RAM,57,10,5,10,0
AGA,CMN,RAM,56,3,0,22,1
RAK,CDG,RYR,187,8,0,23,0
STN,RAK,RYR,218,8,2,0,1
MAD,CMN,RAM,133,7,5,13,0
CDG,AGA,RAM,196,4,4,12,0
CMN,LHR,RAM,176,6,4,10,1
CMN,JFK,RAM,432,8,2,10,1
AGA,CDG,RAM,193,11,5,13,1
CMN,YUL,RAM,478,10,2,15,1
CDG,CMN,RAM,185,8,4,9,0
TNG,CDG,RAM,144,4,5,17,0
CMN,YUL,RAM,437,4,4,21,0
CDG,CMN,RAM,163,10,2,8,0
CMN,LHR,RAM,182,8,4,16,0
CMN,GVA,RAM,166,5,3,10,0
MAD,CMN,RAM,132,12,0,15,1
STN,AGA,RYR,224,11,1,19,0
CMN,IAD,RAM,469,9,5,1,0
FEZ,BCN,VLG,143,6,4,5,0
MAD,CMN,RAM,125,5,1,22,0
RAK,MAD,RAM,135,12,0,7,0
CDG,AGA,RAM,210,6,3,14,0
RAK,FCO,RYR,175,10,2,19,0
STN,RAK,RYR,203,12,3,2,0
CMN,FEZ,RAM,46,7,2,12,0
CMN,FCO,RAM,174,8,6,6,1
RAK,MAD,RAM,134,2,5,18,1
CMN,RAK,RAM,42,8,2,7,1
CMN,LHR,RAM,180,4,4,10,0
CDG,CMN,RAM,176,9,4,17,0
CMN,BRU,RAM,180,2,1,11,1
RAK,BCN,VLG,143,7,5,7,1
CMN,MRS,RAM,149,7,6,20,1
MAD,CMN,RAM,118,7,4,17,0
LHR,RAK,RAM,211,9,6,18,0
STN,RAK,RYR,194,9,4,22,1
CMN,GVA,RAM,171,9,4,15,1
JFK,CMN,RAM,405,8,4,18,1
STN,RAK,RYR,194,11,3,18,1
CMN,AGA,RAM,54,8,4,14,1
AGA,CDG,RAM,170,5,6,19,1
FEZ,CDG,RAM,174,1,6,21,1
CMN,ALG,RAM,101,7,3,11,1
CMN,JFK,RAM,448,4,1,6,0
LHR,RAK,RAM,217,6,3,11,0
FEZ,BCN,VLG,143,1,5,13,0
LHR,RAK,RAM,217,8,0,21,1
TNG,BCN,RYR,122,11,2,12,0
CMN,OUD,RAM,65,5,5,6,1
CMN,LHR,RAM,173,10,3,21,1
CDG,CMN,RAM,185,3,3,8,0
CMN,MAD,RAM,128,9,3,5,0
CMN,LOS,RAM,338,2,5,15,0
CMN,MAD,RAM,126,4,2,12,0
RBA,MAD,RAM,102,6,0,5,0
CMN,CDG,RAM,151,3,6,23,0
CMN,YUL,RAM,426,3,0,20,0
MAD,CMN,RAM,116,9,5,4,1
FEZ,CMN,RAM,47,2,4,8,0
AGA,CDG,RAM,177,12,5,16,0
RAK,CMN,RAM,47,10,5,17,0
AGA,CMN,RAM,51,5,4,5,1
RAK,BCN,RAM,139,8,0,15,1
CMN,BRU,RAM,195,9,2,23,0
MAD,CMN,RAM,126,8,3,10,0
CMN,FCO,RAM,166,8,0,8,1
AGA,LHR,RAM,214,12,6,17,0
CDG,CMN,RAM,179,11,1,6,0
CDG,CMN,RAM,165,12,6,19,0
STN,RAK,RYR,226,11,1,7,1
RAK,FCO,RYR,204,9,5,12,0
AGA,CDG,RAM,194,7,4,6,1
CMN,CAI,RAM,208,7,2,6,0
FEZ,BCN,VLG,138,10,5,13,0
RAK,ORY,RAM,161,12,4,15,1
LHR,CMN,RAM,183,2,5,8,1
FEZ,ORY,RAM,158,11,4,9,0
CMN,AGA,RAM,57,11,0,12,0
CDG,CMN,RAM,173,2,6,20,0
CMN,LOS,RAM,351,8,4,22,0
RAK,MAD,RAM,124,12,5,19,0
CMN,MAD,RAM,120,11,1,17,1
CDG,RBA,RAM,173,2,4,20,1
CMN,JFK,RAM,409,12,5,17,0
FEZ,CDG,RAM,183,3,3,1,1
AGA,CDG,RAM,191,2,2,18,0
STN,RAK,RYR,204,4,5,15,0
MAD,CMN,RAM,121,7,6,19,0
CMN,FCO,RAM,175,10,4,14,1
CDG,CMN,RAM,171,4,4,20,1
CMN,FRA,RAM,202,6,2,0,1
CMN,ABJ,RAM,275,3,1,16,0
TNG,CDG,RAM,150,5,6,20,0
CMN,ALG,RAM,96,11,0,23,0
AGA,STN,RYR,211,9,5,17,1
RAK,LHR,RAM,184,9,4,5,1
FEZ,CDG,RAM,165,4,5,4,0
CMN,TNG,RAM,48,3,6,7,0
CMN,FRA,RAM,185,11,5,13,0
CDG,RBA,RAM,164,12,3,17,1
RAK,BCN,VLG,149,1,3,9,1
FEZ,MAD,IBE,117,7,3,17,1
RAK,FCO,RYR,201,6,3,19,0
CDG,RAK,RAM,171,9,5,9,1
CMN,FCO,RAM,178,5,5,15,1
CMN,LHR,RAM,196,8,3,18,1
ORY,RAK,RAM,184,2,3,23,0
CMN,OUD,RAM,60,10,6,8,0
AGA,ORY,RAM,186,4,6,12,1
CMN,IAD,RAM,429,5,1,2,0
FEZ,BRU,RAM,176,6,3,17,0
STN,AGA,RYR,212,4,6,4,1
CMN,JFK,RAM,412,10,0,19,1
CMN,CDG,RAM,169,2,6,10,0
LHR,CMN,RAM,181,12,6,9,1
RBA,MAD,RAM,104,12,0,16,1
TNG,CDG,RAM,144,10,2,7,0
JFK,CMN,RAM,408,12,0,16,0
CMN,JFK,RAM,400,10,6,11,0
CDG,FEZ,RAM,192,8,1,6,0
CMN,AGA,RAM,52,9,2,17,1
STN,AGA,RYR,226,1,6,18,1
STN,RAK,RYR,195,9,3,21,1
CMN,FRA,RAM,197,1,3,17,1
RAK,ORY,RAM,165,11,2,19,0
CMN,BRU,RAM,195,11,6,12,0
FEZ,BCN,VLG,144,2,6,23,0
CMN,LOS,RAM,352,9,6,9,1
TNG,CDG,RAM,161,8,1,16,0
CMN,NBO,RAM,407,7,4,10,1
FEZ,BRU,RAM,180,1,3,19,1
CMN,IAD,RAM,431,2,5,19,1
RAK,LHR,RAM,207,8,5,9,0
STN,RAK,RYR,200,7,4,16,0
CMN,LHR,RAM,199,1,6,5,0
CMN,AGA,RAM,52,7,2,7,0
RAK,CDG,RYR,163,11,4,22,0
RAK,BCN,RAM,148,11,6,17,1
TNG,MAD,RAM,102,9,3,4,0
CDG,RBA,RAM,181,8,6,21,0
RAK,ORY,RAM,164,10,4,20,0
FEZ,CMN,RAM,48,3,4,8,0
CDG,CMN,RAM,162,4,4,6,0
LHR,CMN,RAM,202,7,6,13,1
STN,RAK,RYR,214,7,5,22,0
CMN,TUN,RAM,104,3,3,8,0
LHR,RAK,RAM,215,9,2,4,0
CMN,IAD,RAM,426,9,6,16,1
RAK,CDG,RAM,171,5,5,17,1
FEZ,BRU,RAM,184,5,5,6,0
RAK,STN,RYR,213,4,1,15,0
CMN,NDR,RAM,65,5,6,4,1
FEZ,CDG,RAM,158,6,5,18,1
CMN,JFK,RAM,458,6,5,16,0
CMN,LYS,RAM,146,7,0,7,1
CMN,DKR,RAM,210,7,4,19,0
TNG,MAD,RAM,108,8,3,20,0
CMN,CDG,RAM,163,5,2,17,0
CMN,BRU,RAM,184,7,6,22,1
RAK,CMN,RAM,45,7,6,15,1
RAK,FCO,RYR,190,2,3,5,0
CMN,FCO,RAM,176,8,5,11,0
CMN,AMS,RAM,194,5,4,21,1
CDG,RBA,RAM,173,1,5,15,0
CMN,RAK,RAM,44,8,4,15,0
CMN,MRS,RAM,153,1,6,18,1
CDG,RAK,RAM,181,6,1,17,1
TNG,CDG,RAM,142,8,5,18,1
STN,AGA,RYR,228,12,2,20,0
FEZ,MAD,IBE,132,7,2,17,0
RAK,ORY,RAM,180,5,3,8,0
RAK,CMN,RAM,42,7,0,18,0
CMN,IAD,RAM,416,4,5,13,1
CMN,MAD,RAM,120,6,6,11,0
AGA,LHR,RAM,205,11,3,21,0
ORY,RAK,RAM,191,3,0,19,0
RBA,CDG,RAM,172,7,3,7,1
CMN,LHR,RAM,186,8,0,18,1
TNG,MAD,RAM,106,5,4,23,1
JFK,CMN,RAM,406,9,5,19,1
RAK,FCO,RYR,179,8,2,16,1
CDG,CMN,RAM,164,7,1,21,1
STN,RAK,RYR,197,8,0,7,0
AGA,LHR,RAM,198,11,6,6,0
CMN,CAI,RAM,199,8,4,7,1
CMN,AMS,RAM,193,8,0,4,1
ORY,RAK,RAM,188,8,2,21,1
TNG,CDG,RAM,143,9,3,4,1
CMN,IAD,RAM,451,6,3,13,0
CMN,GVA,RAM,173,10,6,13,0
CMN,JFK,RAM,456,12,3,7,1
CMN,AGA,RAM,57,8,2,14,1
CMN,ALG,RAM,106,11,3,8,0
CMN,CDG,RAM,168,9,3,15,0
FEZ,CDG,RAM,177,6,0,9,0
AGA,LHR,RAM,186,7,6,11,1
LHR,CMN,RAM,188,8,3,23,1
CMN,OUD,RAM,64,12,1,7,0
STN,RAK,RYR,197,8,3,22,0
RAK,BCN,RAM,144,7,4,10,1
CMN,NBO,RAM,400,3,3,17,0
RAK,CMN,RAM,47,8,2,12,1
CMN,FRA,RAM,188,7,5,7,0
JFK,CMN,RAM,422,12,5,17,1
LHR,CMN,RAM,202,5,2,16,0
AGA,STN,RYR,210,10,4,4,0
RAK,STN,RYR,184,5,1,11,1
STN,RAK,RYR,218,3,3,23,0
CMN,AMS,RAM,201,1,4,6,1
RAK,FCO,RYR,201,11,1,14,0
STN,AGA,RYR,228,6,1,6,0
CMN,TUN,RAM,116,5,1,11,1
FEZ,ORY,RAM,152,6,6,6,1
CMN,ABJ,RAM,250,9,5,20,0
AGA,STN,RYR,198,6,1,4,0
CDG,CMN,RAM,188,4,5,9,1
ORY,RAK,RAM,184,2,2,8,0
AGA,CMN,RAM,56,8,2,13,1
CMN,TNG,RAM,51,12,0,19,0
CMN,JFK,RAM,440,8,5,16,1
RAK,LHR,RAM,185,12,1,22,1
